Participant,Block,version,Trial,Difficulty,Part,Start,Stop,PicNumber,video,
1002,1,normal,1,easy,question,48.6,54.4,37,,
1002,1,normal,1,easy,anwser,54.8,56.8,37,,
1002,1,normal,2,hard,question,59,64.3,18,,
1002,1,normal,2,hard,anwser,64,65.8,18,,
1002,1,normal,3,hard,question,68,73.6,20,,
1002,1,normal,3,hard,anwser,73.8,75,20,,
1002,1,normal,4,hard,question,76.5,82.1,36,,
1002,1,normal,4,hard,anwser,82.5,83.6,36,,
1002,1,normal,5,easy,question,85.1,90.7,39,,
1002,1,normal,5,easy,anwser,90.9,92,39,,
1002,1,normal,6,hard,question,94.4,100,6,,
1002,1,normal,6,hard,anwser,100.4,101,6,,
1002,1,normal,7,easy,question,102.6,108.3,7,,
1002,1,normal,7,easy,anwser,108.5,109.3,7,,
1002,1,normal,8,easy,question,111.3,117,9,,
1002,1,normal,8,easy,anwser,117.3,118,9,,
1002,1,normal,9,hard,question,120.2,126,40,,
1002,1,normal,9,hard,anwser,126.3,127.4,40,,
1002,1,normal,10,easy,question,129.1,134.8,29,,
1002,1,normal,10,easy,anwser,135,135.8,29,,
1002,1,normal,11,easy,question,137.7,143.5,17,,
1002,1,normal,11,easy,anwser,143.6,144.6,17,,
1002,1,normal,12,hard,question,146.9,152.5,16,,
1002,1,normal,12,hard,anwser,152.9,153.5,16,,
1002,1,normal,13,easy,question,155.6,161.1,11,,
1002,1,normal,13,easy,anwser,161.4,162.3,11,,
1002,1,normal,14,easy,question,163.7,169.2,1,,
1002,1,normal,14,easy,anwser,169.5,170.4,1,,
1002,1,normal,15,easy,question,172.3,178.1,13,,
1002,1,normal,15,easy,anwser,178.2,179.2,13,,
1002,1,normal,16,easy,question,180.7,186.3,25,,
1002,1,normal,16,easy,anwser,186.5,187.2,25,,
1002,1,normal,17,easy,question,189.8,195.5,3,,
1002,1,normal,17,easy,anwser,195.7,196.7,3,,
1002,1,normal,18,hard,question,199.3,205,34,,
1002,1,normal,18,hard,anwser,205.2,206.3,34,,
1002,1,normal,19,hard,question,208.1,213.7,22,,
1002,1,normal,19,hard,anwser,214,215,22,,
1002,1,normal,20,easy,question,216.5,222.4,5,,
1002,1,normal,20,easy,anwser,222.5,223.2,5,,
1002,1,normal,21,hard,question,224.8,230.5,38,,
1002,1,normal,21,hard,anwser,230.7,231.7,38,,
1002,1,normal,22,easy,question,233.4,239.5,21,,
1002,1,normal,22,easy,anwser,239.6,240.2,21,,
1002,1,normal,23,hard,question,242.8,248.5,2,,
1002,1,normal,23,hard,anwser,248.7,249.9,2,,
1002,1,normal,24,easy,question,251.6,257.3,10,,
1002,1,normal,24,easy,anwser,257.5,260,10,,
1002,1,normal,25,hard,question,263.4,269.1,12,,
1002,1,normal,25,hard,anwser,269.3,270,12,,
1002,1,normal,26,hard,question,271.9,277.5,26,,
1002,1,normal,26,hard,anwser,277.8,278.2,26,,
1002,1,normal,27,hard,question,280.4,286.3,30,,
1002,1,normal,27,hard,anwser,286.4,287.5,30,,
1002,1,normal,28,hard,question,289.3,295.1,32,,
1002,1,normal,28,hard,anwser,295.4,296.7,32,,
1002,1,normal,29,easy,question,298.5,304,27,,
1002,1,normal,29,easy,anwser,304.3,305.6,27,,
1002,1,normal,30,hard,question,308.6,314.4,4,,
1002,1,normal,30,hard,anwser,314.5,315.5,4,,
1002,1,normal,31,easy,question,317.4,323.4,35,,
1002,1,normal,31,easy,anwser,324.2,324.6,35,,
1002,1,normal,32,easy,question,326.5,332.4,15,,
1002,1,normal,32,easy,anwser,332.7,333.7,15,,
1002,1,normal,33,easy,question,335.9,341.5,31,,
1002,1,normal,33,easy,anwser,341.7,343.2,31,,
1002,1,normal,34,easy,question,345.3,351,23,,
1002,1,normal,34,easy,anwser,351.4,352.5,23,,
1002,1,normal,35,hard,question,354.5,360.4,14,,
1002,1,normal,35,hard,anwser,360.5,361.7,14,,
1002,1,normal,36,easy,question,363.4,369.3,33,,
1002,1,normal,36,easy,anwser,369.4,370.8,33,,
1002,1,normal,37,hard,question,373.5,379.4,28,,
1002,1,normal,37,hard,anwser,379.7,380.8,28,,
1002,1,normal,38,easy,question,383.4,389.3,19,,
1002,1,normal,38,easy,anwser,389.8,390.5,19,,
1002,1,normal,39,hard,question,392.9,398.7,24,,
1002,1,normal,39,hard,anwser,398.9,399.6,24,,
1002,1,normal,40,hard,question,401.7,407.3,8,,
1002,1,normal,40,hard,anwser,407.6,408.5,8,,
1002,2,normal,1,hard,question,71.7,77.7,58,10002_b,
1002,2,normal,1,hard,anwser,78,79.2,58,10002_b,
1002,2,normal,2,hard,question,81,87,72,10002_b,
1002,2,normal,2,hard,anwser,87.1,88.3,72,10002_b,
1002,2,normal,3,easy,question,90.1,95.6,51,10002_b,
1002,2,normal,3,easy,anwser,95.8,96.5,51,10002_b,
1002,2,normal,4,easy,question,99.1,104.5,71,10002_b,
1002,2,normal,4,easy,anwser,104.9,105.5,71,10002_b,
1002,2,normal,5,easy,question,107,112.5,45,10002_b,
1002,2,normal,5,easy,anwser,113,114.1,45,10002_b,
1002,2,normal,6,easy,question,115.7,121.3,61,10002_b,
1002,2,normal,6,easy,anwser,121.7,122.7,61,10002_b,
1002,2,normal,7,hard,question,124.8,130.6,50,10002_b,
1002,2,normal,7,hard,anwser,130.7,131.8,50,10002_b,
1002,2,normal,8,easy,question,133.6,139.3,65,10002_b,
1002,2,normal,8,easy,anwser,139.4,140.6,65,10002_b,
1002,2,normal,9,hard,question,142.7,148.3,66,10002_b,
1002,2,normal,9,hard,anwser,148.5,149.2,66,10002_b,
1002,2,normal,10,hard,question,151.1,157,52,10002_b,
1002,2,normal,10,hard,anwser,157.2,157.9,52,10002_b,
1002,2,normal,11,easy,question,159.8,165.8,43,10002_b,
1002,2,normal,11,easy,anwser,165.9,166.6,43,10002_b,
1002,2,normal,12,easy,question,169,174.6,69,10002_b,
1002,2,normal,12,easy,anwser,174.9,176,69,10002_b,
1002,2,normal,13,hard,question,178.5,184.2,64,10002_b,
1002,2,normal,13,hard,anwser,184.3,185.3,64,10002_b,
1002,2,normal,14,easy,question,188.4,194.1,53,10002_b,
1002,2,normal,14,easy,anwser,194.3,195.4,53,10002_b,
1002,2,normal,15,easy,question,197.1,202.5,59,10002_b,
1002,2,normal,15,easy,anwser,202.9,204.1,59,10002_b,
1002,2,normal,16,hard,question,206.6,212,78,10002_b,
1002,2,normal,16,hard,anwser,212.4,213,78,10002_b,
1002,2,normal,17,hard,question,214.6,220.2,54,10002_b,
1002,2,normal,17,hard,anwser,220.6,221.5,54,10002_b,
1002,2,normal,18,hard,question,223.4,229,68,10002_b,
